ڪ,ک,ق,خ,گ,غ,ڳ,گه,چ,ڇ,ج,جه,ڄ,ز,ذ,ض,ظ,ژ,ٽ,ٺ,ڏ,ڊ,ڍ,ڙ,ڙه,ت,ٿ,ط,د,ڌ,ن,ڻ,ڱ,ڃ,پ,ڦ,ف,ب,ٻ,ڀ,م,ی,ر,ل,ݪ,و,ش,ݜ,س,ص,ث,ه,ح,ۃ
k,kh,q,k͟h,g,g͟h,g̤,gh,c,ch,j,jh,j̈,z,ẕ,ẓ,z̤,zh,ṭ,ṭh,d̤,ḍ,ḍh,ṛ,ṛh,t,th,t̤,d,dh,n,ṇ,ṅ,ñ,p,ph,f,b,ḇ,bh,m,y,r,l,ḷ,v,sh,ṣh,s,ṣ,s̱,h,ḥ,ẖ
क,ख,क़,ख़,ग,ग़,ॻ,घ,च,छ,ज,झ,ॼ,ज़,ज़़,ॹ,ॹ़,झ़,ट,ठ,ॾ,ड,ढ,ड़,ढ़,त,थ,त़,द,ध,न,ण,ङ,ञ,प,फ,फ़,ब,ॿ,भ,म,य,र,ल,ळ,व,श,ष,स,स़,स़़,ह,ह़,ह॒
