ع,اَ,ا,آ,اِ,اِی,اُ,اُو,اَی,ای,آی,اَو,او,آو,آو
ʻ,,ā,,,,,,,,,,,,
ʻ,ऄ,अ,आ,इ,ई,उ,ऊ,ऎ,ए,ऐ,ऒ,ओ,औ,औ
