ک,کھ,ق,خ,گ,غ,ڳ,گھ,چ,چھ,څ,ڇ,ج,جھ,ڄ,ز,ذ,ض,ظ,ژ,ڙ,ځ,ٹ,ٹھ,ݙ,ڈ,ڈھ,ڑ,ڑھ,ت,تھ,ط,د,دھ,ن,ݨ,ن٘,ݩ,پ,پھ,ف,ب,ٻ,بھ,م,ی,ؠ,ر,ل,لؕ,و,ش,ݜ,س,ص,ث,ہ,ح,ۃ,ھ
k,kh,q,k͟h,g,g͟h,g̤,gh,c,ch,tś,tśh,j,jh,j̈,z,ẕ,ẓ,z̤,zh,z̈,ź,ṭ,ṭh,d̤,ḍ,ḍh,ṛ,ṛh,t,th,t̤,d,dh,n,ṇ,ṅ,ñ,p,ph,f,b,ḇ,bh,m,y,ẏ,r,l,ḷ,v,sh,ṣh,s,ṣ,s̱,h,ḥ,ẖ,h
क,ख,क़,ख़,ग,ग़,ॻ,घ,च,छ,च़,छ़,ज,झ,ॼ,ज़,ज़़,ॹ,ॹ़,झ़,ष़,श़,ट,ठ,ॾ,ड,ढ,ड़,ढ़,त,थ,त़,द,ध,न,ण,ङ,ञ,प,फ,फ़,ब,ॿ,भ,म,य,ॺ,र,ल,ळ,व,श,ष,स,स़,स़़,ह,ह़,ह॒,ह
