ں,ے,یں,یے,ع,ا,ئ,ۓ,ؤ,ء,ۂ,أ,ْ
ṉ,e,eṉ,īe,ʻ,ā,ẹ,e,o,ʼ,hʼ,ʾ,ْ
ं,े,ें,िए,ʻ,आ,इ,ए,ओ,ः,हः,ʾ,्
